País,Origen,Destino,Costa a Costa,Total,Total Menos Carga de Costa a Costa,%
Estados Unidos,116459579,66947531,1917157,185324266,183407109,69.9%
China,28473050,24997237,,53470287,53470287,20.4%
Japón,6360992,28178263,,34539255,34539255,13.2%
Chile,12230311,11189165,,23419476,23419476,8.9%
Corea del Sur,11649158,10486501,,22135659,22135659,8.4%
Perú,9214330,12379246,,21593576,21593576,8.2%
México,7816830,12737747,425678,20980255,20554577,7.8%
Colombia,8135029,9624467,375534,18135031,17759496,6.8%
Ecuador,5707798,9818972,,15526770,15526770,5.9%
Canadá,10110910,2641015,14584,12766508,12751924,4.9%
Panamá,1000271,9725201,11328,10736800,10725472,4.1%
Guatemala,2043883,8405765,9744,10459392,10449648,4.0%
Brasil,2801772,3008858,,5810630,5810630,2.2%
España,2213688,3090172,,5303860,5303860,2.0%
Holanda (Países Bajos),1131812,3442127,,4573939,4573939,1.7%
