Segmento de Mercado,Tránsitos 2024,Tránsitos 2025,% Diferencia Tránsitos,CP/SUAB Reconstruido 2024,CP/SUAB Reconstruido 2025,% Diferencia CP/SUAB,Toneladas Largas de Carga 2024,Toneladas Largas de Carga 2025,% Diferencia Toneladas Largas,Tonelaje de Desplazamiento 2024,Tonelaje de Desplazamiento 2025,% Diferencia Desplazamiento
Portacontenedores,2773,2893,4.33%,195314765,208469354,6.74%,62121794,67027297,7.90%,,,
Gas Licuado de Petróleo,1561,1805,15.63%,59951794,71505652,19.27%,36409579,38468826,5.66%,,,
Graneleros,1278,2230,74.49%,32877972,60156944,82.97%,44842959,83831703,86.95%,,,
Portavehículos/RoRo,783,871,11.24%,47894324,53673332,12.07%,4740198,4802482,1.31%,,,
Químicos,1808,2218,22.68%,40853681,49710843,21.68%,40055698,46107719,15.11%,,,
Petroleros,422,444,5.21%,12851967,14846959,15.52%,13261644,13836841,4.34%,,,
Pasajeros,205,214,4.39%,10187280,10602162,4.07%,,,,,,
Gas Natural Licuado,115,61,-46.96%,13050509,6237748,-52.20%,4178660,1803349,-56.84%,,,
Carga General,287,463,61.32%,3393273,6101626,79.82%,2336995,3604699,54.25%,,,
Refrigerados,436,516,18.35%,4786735,5759935,20.33%,2034104,2545541,25.14%,,,
Otros,1572,1689,7.44%,1930772,2091480,8.32%,353880,310222,-12.34%,205311,221199,7.74%
Total,11240,13404,,423093072,489156035,,210335111,262338680,,205311,221199,
