ANo y trimestre;Transito de Navesde alto calado;Tranisto de naves de Pequeno calado;Ingresos por peaje (En balboas)
2020;12,092;891;2,710,684,310
2021;12,650;873;2,982,729,941
2022;12,962;1312;3,015,788,432
Primer trimestre de 2023;3,239;543;857,051,608
Segundo trimestre de 2023;3,052;384;856,532,378
Tercer trimestre de 2023;3,025;199;863,958,325
Cuarto trimestre de 2023;2,534;240;745,690,095
Primer trimestre de 2024;2,111;507;705,857,741
Segundo trimestre de 2024;2,465;370;807,768,453
Tercer trimestre de 2024;2,833;180;919,829,284
Cuarto trimestre de 2024;3,033;304;942,837,112
