pais,origen,destino,costa_a_costa,total,total_menos_cc,porcentaje,cluster,distancia_centroide
Estados Unidos,116459579,66947531,1917157.0,185324266,183407109,69.9%,1,0.0
China,28473050,24997237,0.0,53470287,53470287,20.4%,2,0.46353725980127075
Japón,6360992,28178263,0.0,34539255,34539255,13.2%,2,0.4635372598012707
Chile,12230311,11189165,0.0,23419476,23419476,8.9%,0,0.3902841845703168
Corea del Sur,11649158,10486501,0.0,22135659,22135659,8.4%,0,0.3409734258389942
Perú,9214330,12379246,0.0,21593576,21593576,8.2%,0,0.37018987909490425
México,7816830,12737747,425678.0,20980255,20554577,7.8%,0,0.8126325720131369
Colombia,8135029,9624467,375534.0,18135031,17759496,6.8%,0,0.6515498600842371
Ecuador,5707798,9818972,0.0,15526770,15526770,5.9%,0,0.18623413148576196
Canadá,10110910,2641015,14584.0,12766508,12751924,4.9%,0,0.3901584201446135
Panamá,1000271,9725201,11328.0,10736800,10725472,4.1%,0,0.25902112727381144
Guatemala,2043883,8405765,9744.0,10459392,10449648,4.0%,0,0.21366885637817926
Brasil,2801772,3008858,0.0,5810630,5810630,2.2%,0,0.4197319688051274
España,2213688,3090172,0.0,5303860,5303860,2.0%,0,0.42794140017402377
Holanda (Países Bajos),1131812,3442127,0.0,4573939,4573939,1.7%,0,0.4350913099059667
