fecha,segmento,transitos,ingresos,toneladas,volumen
2020-01-01,NeoPanamax,308,135551279,23811798,9311252
2020-02-01,NeoPanamax,268,112186169,19811487,8662008
2020-03-01,NeoPanamax,261,105134233,19232310,7836721
2020-04-01,NeoPanamax,271,121704852,19898460,9636220
2020-05-01,NeoPanamax,254,115570390,18800359,7521629
2020-06-01,NeoPanamax,232,104577178,16576147,6565306
2020-07-01,NeoPanamax,251,121950599,19079572,7897585
2020-08-01,NeoPanamax,282,130653295,20951662,8796684
2020-09-01,NeoPanamax,260,121964946,19258432,8787277
2020-10-01,NeoPanamax,315,145375434,22946952,10585124
2020-11-01,NeoPanamax,324,145811548,24451096,11730687
2020-12-01,NeoPanamax,344,153231781,25217807,12934207
2021-01-01,NeoPanamax,346,153260218,25708291,11204936
2021-02-01,NeoPanamax,279,126728701,20723613,9329872
2021-03-01,NeoPanamax,304,141720085,23509070,9747507
2021-04-01,NeoPanamax,299,137547057,22005371,11461141
2021-05-01,NeoPanamax,313,146625776,23482497,10513193
2021-06-01,NeoPanamax,307,142642387,23438604,11352677
2021-07-01,NeoPanamax,320,150807571,25246480,11116017
2021-08-01,NeoPanamax,322,151650733,25053579,10604790
2021-09-01,NeoPanamax,281,138487174,22422079,9082635
2021-10-01,NeoPanamax,310,145896162,24123741,10538440
2021-11-01,NeoPanamax,333,151618714,24781309,11543192
2021-12-01,NeoPanamax,319,150884385,24358684,10218431
2022-01-01,NeoPanamax,311,149050897,23865750,10004906
2022-02-01,NeoPanamax,276,130895527,21223099,8453409
2022-03-01,NeoPanamax,284,134683300,21473508,9049952
2022-04-01,NeoPanamax,267,128116455,20447389,8589956
2022-05-01,NeoPanamax,306,145671634,23313133,10171959
2022-06-01,NeoPanamax,286,136782993,21402763,10098144
2022-07-01,NeoPanamax,313,145203473,23274508,10632870
2022-08-01,NeoPanamax,317,152978500,24498773,10363132
2022-09-01,NeoPanamax,297,136867527,22345005,9618799
2022-10-01,NeoPanamax,308,139858364,22738532,9326555
2022-11-01,NeoPanamax,328,143559647,23838254,10506232
2022-12-01,NeoPanamax,330,149418376,24481849,11021666
2023-01-01,NeoPanamax,287,152809090,21835614,9286627
2023-02-01,NeoPanamax,275,143736348,20173867,9028694
2023-03-01,NeoPanamax,295,158574764,22313157,10278045
2023-04-01,NeoPanamax,309,166975439,23388314,9939787
2023-05-01,NeoPanamax,280,157009382,22000200,8716657
2023-06-01,NeoPanamax,297,163284687,22728056,9277913
2023-07-01,NeoPanamax,313,175125196,24775125,8811192
2023-08-01,NeoPanamax,307,164148202,23488217,8916542
2023-09-01,NeoPanamax,297,163124338,22694344,9289180
