feature,importancia,target
transitos_lag1,0.447252,ingresos
transitos_ma3,0.200841,ingresos
transitos_ma12,0.117826,ingresos
transitos_lag12,0.11303,ingresos
anio,0.082634,ingresos
mes_num,0.013337,ingresos
trimestre,0.004387,ingresos
mes_9,0.003707,ingresos
mes_7,0.003115,ingresos
mes_2,0.002932,ingresos
transitos_ma3,0.30192675460711893,transitos
transitos_lag1,0.2783234389710762,transitos
transitos_ma12,0.21620780434070316,transitos
transitos_lag12,0.19699376169342506,transitos
mes_num,0.0023908737721579517,transitos
mes_2,0.0008188455807494934,transitos
mes_9,0.0005160997950684661,transitos
anio,0.0005010696336334909,transitos
trimestre,0.0004495178113407514,transitos
mes_12,0.0003819868051489406,transitos
