fecha,segmento,pred_transitos,pred_ingresos,limite_inferior,limite_superior,modelo
2026-01-01,Panamax_AltoCalado,712.29,161179631.79,132221867.17,190137396.4,LinearRegression
2026-02-01,Panamax_AltoCalado,705.89,151743458.68,122785694.07,180701223.29,LinearRegression
2026-03-01,Panamax_AltoCalado,728.86,160294527.89,131336763.28,189252292.51,LinearRegression
2026-04-01,Panamax_AltoCalado,705.78,158799713.91,129841949.29,187757478.52,LinearRegression
2026-05-01,Panamax_AltoCalado,687.98,160279368.36,131321603.74,189237132.97,LinearRegression
2026-06-01,Panamax_AltoCalado,699.76,160189233.11,131231468.49,189146997.72,LinearRegression
2026-07-01,Panamax_AltoCalado,682.56,161795796.32,132838031.71,190753560.94,LinearRegression
2026-08-01,Panamax_AltoCalado,691.49,164480787.09,135523022.48,193438551.71,LinearRegression
2026-09-01,Panamax_AltoCalado,657.95,155143607.23,126185842.61,184101371.84,LinearRegression
2026-10-01,Panamax_AltoCalado,661.94,159180604.74,130222840.12,188138369.35,LinearRegression
2026-11-01,Panamax_AltoCalado,670.43,154638663.32,125680898.7,183596427.93,LinearRegression
2026-12-01,Panamax_AltoCalado,630.06,150508458.61,121550693.99,179466223.22,LinearRegression
2026-01-01,NeoPanamax,273.37,194477776.72,165520012.1,223435541.33,LinearRegression
2026-02-01,NeoPanamax,233.91,182097533.16,153139768.54,211055297.77,LinearRegression
2026-03-01,NeoPanamax,264.46,190973307.28,162015542.66,219931071.89,LinearRegression
2026-04-01,NeoPanamax,241.07,187172418.41,158214653.8,216130183.03,LinearRegression
2026-05-01,NeoPanamax,207.58,186473433.72,157515669.11,215431198.34,LinearRegression
2026-06-01,NeoPanamax,224.01,187980049.45,159022284.84,216937814.07,LinearRegression
2026-07-01,NeoPanamax,198.26,188585749.3,159627984.69,217543513.92,LinearRegression
2026-08-01,NeoPanamax,201.3,190864590.77,161906826.15,219822355.38,LinearRegression
2026-09-01,NeoPanamax,168.17,183806867.05,154849102.44,212764631.67,LinearRegression
2026-10-01,NeoPanamax,165.94,188878982.8,159921218.18,217836747.41,LinearRegression
2026-11-01,NeoPanamax,173.04,186442915.35,157485150.73,215400679.96,LinearRegression
2026-12-01,NeoPanamax,130.12,182956066.64,153998302.03,211913831.26,LinearRegression
