Año,Mes,Transito de Naves Alto Calado Panamax,Transito de Naves Pequeño Calado Panamax,Ingresos por Peaje Panamax,Toneladas Netas Panamax,Volumen de Carga Panamax,Transito de Naves NeoPanamax,Ingresos por Peaje NeoPanamax,Tonelada Netas Neopanamax,Volumen de Carga NeoPanamax
2020,Enero,826,149,110198056,21167387,13324583,308,135551279,23811798,9311252
2020,Febrero,753,206,100158695,19293825,13054336,268,112186169,19811487,8662008
2020,Marzo,825,124,110757041,21512145,15397768,261,105134233,19232310,7836721
2020,Abril,698,53,96144271,17615626,13232901,271,121704852,19898460,9636220
2020,Mayo,640,43,85960793,15530225,12631808,254,115570390,18800359,7521629
2020,Junio,613,45,81004694,14669840,11113994,232,104577178,16576147,6565306
2020,Julio,682,30,93413788,17474083,12503964,251,121950599,19079572,7897585
2020,Agosto,718,36,98779971,18617445,11762851,282,130653295,20951662,8796684
2020,Septiembre,689,44,96461926,18276073,10485688,260,121964946,19258432,8787277
2020,Octubre,782,46,111424110,21209039,13650607,315,145375434,22946952,10585124
2020,Noviembre,726,54,104891359,19818111,12699813,324,145811548,24451096,11730687
2020,Diciembre,770,61,107756654,20493055,13471105,344,153231781,25217807,12934207
2021,Enero,736,78,103659587,19369646,13908609,346,153260218,25708291,11204936
2021,Febrero,711,65,97233702,18442700,13279899,279,126728701,20723613,9329872
2021,Marzo,795,97,107074212,20403545,14512747,304,141720085,23509070,9747507
2021,Abril,734,101,101030857,18866024,14641048,299,137547057,22005371,11461141
2021,Mayo,714,95,101622860,19113384,14087599,313,146625776,23482497,10513193
2021,Junio,688,52,98028096,18344694,13731739,307,142642387,23438604,11352677
2021,Julio,724,57,103244601,19448209,13316558,320,150807571,25246480,11116017
2021,Agosto,779,39,108439978,20642403,13753664,322,151650733,25053579,10604790
2021,Septiembre,624,60,89930761,16359872,11028962,281,138487174,22422079,9082635
2021,Octubre,751,72,104162847,19422620,13928889,310,145896162,24123741,10538440
2021,Noviembre,801,76,108682720,20290667,14267322,333,151618714,24781309,11543192
2021,Diciembre,861,80,121750757,22960816,15149161,319,150884385,24358684,10218431
2022,Enero,796,119,110511764,20606337,13884030,311,149050897,23865750,10004906
2022,Febrero,770,133,108337719,20062710,14351076,276,130895527,21223099,8453409
